label,contains,lat_min,lat_max,lon_min,lon_max
N,highway + railway,36.346028,36.372978,-121.269761,-121.220790
NE,highway + railway,36.346028,36.372978,-121.220790,-121.187343
E,highway + railway,36.302322,36.346028,-121.220790,-121.187343
SE,highway,36.275372,36.302322,-121.220790,-121.187343
S,highway,36.275372,36.302322,-121.269761,-121.220790
SW,highway,36.275372,36.302322,-121.303207,-121.269761
W,highway,36.302322,36.346028,-121.303207,-121.269761
NW,highway,36.346028,36.372978,-121.303207,-121.269761
